unique_id,profile,resp_id,contest_no,bread,protein,veggie,selected,parent_key
10_1,1,10,1,4,5,1,1,uuid:24115e53-2809-4e26-bfaf-836390d50f72
10_1,2,10,1,2,6,4,0,uuid:24115e53-2809-4e26-bfaf-836390d50f72
10_2,1,10,2,1,6,4,0,uuid:24115e53-2809-4e26-bfaf-836390d50f72
10_2,2,10,2,1,5,8,1,uuid:24115e53-2809-4e26-bfaf-836390d50f72
1_1,1,1,1,6,3,8,0,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86
1_1,2,1,1,1,2,5,1,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86
1_2,1,1,2,5,4,1,1,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86
1_2,2,1,2,2,1,4,0,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86
2_1,1,2,1,5,1,8,1,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a
2_1,2,2,1,3,1,2,0,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a
2_2,1,2,2,6,3,2,0,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a
2_2,2,2,2,5,3,6,1,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a
3_1,1,3,1,3,2,6,0,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678
3_1,2,3,1,1,4,8,1,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678
3_2,1,3,2,1,1,2,1,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678
3_2,2,3,2,6,5,2,0,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678
4_1,1,4,1,4,1,8,0,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07
4_1,2,4,1,1,4,7,1,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07
4_2,1,4,2,2,4,4,0,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07
4_2,2,4,2,2,6,3,1,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07
5_1,1,5,1,5,1,4,1,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8
5_1,2,5,1,5,1,1,0,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8
5_2,1,5,2,2,1,6,0,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8
5_2,2,5,2,2,5,6,1,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8
6_1,1,6,1,4,4,3,1,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69
6_1,2,6,1,2,6,8,0,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69
6_2,1,6,2,2,2,8,0,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69
6_2,2,6,2,6,5,8,1,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69
7_1,1,7,1,3,6,4,1,uuid:21a833cc-85ab-4518-bf67-346833e749e1
7_1,2,7,1,2,6,6,0,uuid:21a833cc-85ab-4518-bf67-346833e749e1
7_2,1,7,2,5,2,8,0,uuid:21a833cc-85ab-4518-bf67-346833e749e1
7_2,2,7,2,6,3,7,1,uuid:21a833cc-85ab-4518-bf67-346833e749e1
8_1,1,8,1,2,3,2,1,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84
8_1,2,8,1,3,1,5,0,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84
8_2,1,8,2,6,1,5,0,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84
8_2,2,8,2,3,4,2,1,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84
9_1,1,9,1,1,4,8,1,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8
9_1,2,9,1,6,1,4,0,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8
9_2,1,9,2,6,1,8,0,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8
9_2,2,9,2,1,4,2,1,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8
